#source_id,ra,dec,phot_g_mean_mag
4068055347614633984,266.9532057821593,-24.78232723682327,20.665022
4068055485053566336,266.97981874519013,-24.763307705403868,20.288467
4068055480749873792,266.9789820844035,-24.770514063774403,18.81127
4068055072738244224,266.98731809477556,-24.807110384169746,20.113026
4068055450695514752,266.96976244397524,-24.7821580910336,20.633965
4068056309687468416,266.95919234205473,-24.744216369562842,19.75181
4068055485053550464,266.9736012762467,-24.7722608474691,19.386927
4068055072738242944,266.97858234529417,-24.813932795842778,20.112204
4068055240231703680,266.9766860170896,-24.790625471088248,19.566765
4068055485053549696,266.97409360308257,-24.77205890322163,19.983324
4068055210175451392,267.0000131016873,-24.79407527598973,18.690046
4068055485055251456,266.9845051112441,-24.772516245313213,20.400871
4068055240231704448,266.97750278799055,-24.78679075441629,18.605688
4068055175817458304,267.0001266119388,-24.79903963547243,20.230154
4068055240231702784,266.97589732180137,-24.794496018306997,18.987598
4068055450693821568,266.97041762841906,-24.77337185575365,17.835094
4068055240231703296,266.9762847339747,-24.783268882048652,19.453096
4068055480749871616,266.97598886293497,-24.773349435709505,19.017086
4068055485053558912,266.97689141196514,-24.767659805201486,20.219112
4068055446390132096,266.9744458586734,-24.777690731033566,17.20757
4068055240231701504,266.9742336571721,-24.79078456113857,19.695662
4068055450693821312,266.9626075646373,-24.780109015284623,19.065582
4068055480749870592,266.9751659606416,-24.772760491081637,18.780289
4068055038378502784,266.97476417135266,-24.81701461684434,20.634861
4068055480749869440,266.97343111469996,-24.763083556095488,18.657831
4068055038378501376,266.97055446454505,-24.82020373736698,20.569052
4068055480749869056,266.97325766772036,-24.764574500788957,19.820145
4068055175817454592,266.9915040487621,-24.8057950105629,20.696894
4068055240231700608,266.97322264480573,-24.783713980016795,19.013556
4068055450693803520,266.9683987172594,-24.778822729625553,19.84988
4068055072738239616,266.98839461034936,-24.807918791437206,20.30571
4068055240231701248,266.9739411731846,-24.78784775039543,19.48176
4068055347616295424,266.95282886109675,-24.794857797559917,20.785234
4068055446390131584,266.97411311844,-24.78007443478149,16.57674
4068055549469346304,266.9735494609538,-24.754301416027403,17.9096
4068055038378501632,266.97268264246577,-24.818672712424107,20.750935
4068055347614584320,266.96277706132594,-24.784341545713897,18.599514
4068055450695510656,266.9695565448984,-24.783119464548037,20.216463
4068055446390129664,266.97180082984346,-24.77507993296371,18.038904
4068055485053537280,266.9786740936056,-24.77016815760425,19.63035
4068055480749868928,266.9731159599407,-24.76860583668585,17.07208
4068055137152484864,266.9723820606098,-24.79870412858574,19.363218
4068055038378500608,266.96670529184195,-24.822895063866675,20.447687
4068055549469343872,266.9703824607827,-24.761352600793916,18.5883
4068056275327692288,266.9522508531004,-24.75777895964912,19.398094
4068055549469344384,266.9716865092169,-24.758476771278705,17.158344
4068055485053538304,266.9779410698138,-24.77076397671495,19.717762
4068055343306825856,266.95780015254473,-24.78033600507914,18.224916
4068055274591452416,266.9906580490092,-24.771614220923922,18.699144
4068055485053538432,266.9780303939449,-24.771180255907705,20.018925
4068055171512237440,266.9906981063574,-24.798488520322003,20.0909
4068055549469344512,266.97151057162625,-24.752497257656362,19.938871
4068055274591452288,266.98957863762735,-24.77983877665374,19.181202
4068055549469344000,266.97041331952846,-24.755038248626338,19.2312
4068055347614585344,266.9553870773483,-24.79053311768241,19.332367
4068055274591453056,266.99122046672437,-24.78152127067347,18.668732
4068055244535309440,266.98080867933146,-24.784021516582005,19.01688
4068055485053538048,266.97706432907376,-24.771318461294253,17.02784
4068055171512236160,266.98825572936147,-24.792921332738203,19.13531
4068055171512236800,266.9890798739922,-24.797138353313134,18.922123
4068055274591451648,266.988677819321,-24.78382998210357,19.62394
4068055171512235776,266.9880650285137,-24.7977189862421,18.414654
4068056305379592320,266.9603701864108,-24.74399439079508,17.570734
4068055274591449472,266.9866207650307,-24.77636663936139,17.626957
4068055450695511296,266.97707205349775,-24.778011448748625,20.517569
4068055240231711616,266.98711055207997,-24.788673323164577,18.535934
4068055485055292160,266.9716282323076,-24.77104883889246,20.068565
4068055274591449728,266.987189843947,-24.7727606249919,20.488419
4068055480749878656,266.985467955135,-24.765265347076102,18.335926
4068055038378503552,266.9731678015488,-24.81796986681212,20.22374
4068055347614607104,266.95367111271656,-24.787282460029342,19.49113
4068055480749878400,266.98484904058154,-24.766140898971525,19.080378
4068055450695552000,266.96036349373367,-24.77941570974008,20.660398
4068055485053559808,266.9830852617847,-24.762531453941953,19.796455
4068055485053549824,266.9835521055297,-24.76389668366263,19.457836
4068055274587352576,266.9962096581738,-24.778821579404347,17.466558
4068055274591447040,266.98318446395245,-24.778396078734566,18.721336
4068055450693811712,266.9676042682774,-24.777452699955095,20.043465
4068055240231709184,266.9838708470216,-24.784491084935595,18.941616
4068055141456068608,266.9742916610426,-24.795604530222747,19.732574
4068055347614609152,266.95483656942366,-24.785447993512907,19.969679
4068055347614595712,266.955795186829,-24.787744619234008,19.521145
4068055240231706624,266.9810936501992,-24.790811500814083,19.446838
4068055485053548416,266.97784285860087,-24.76889746850909,19.814234
4068055450693809664,266.9674528577769,-24.777994005264226,19.345139
4068055450693808128,266.96274901113657,-24.782491329832247,19.62392
4068055515109596544,266.9597051455903,-24.76218859249227,18.267784
4068055038378490240,266.97689630321105,-24.818859592964532,21.006712
4068055515109596288,266.9597108317382,-24.767105211648357,18.613617
4068055485053563904,266.9780003131502,-24.765908518927287,19.767796
4068055343310905216,266.9601500466467,-24.789209908035694,19.283798
4068056305383579392,266.96006617959455,-24.753307793611253,18.219887
4068055549469335168,266.9601400492029,-24.75967816034929,18.377884
4068055549469333760,266.95873752927986,-24.757623740216857,18.838137
4068055137152473088,266.95828733073785,-24.7988295276219,19.021132
4068055515109595264,266.9584138668296,-24.77302480399478,18.139969
4068055343310903808,266.95908805937063,-24.783749363891918,17.681149
4068055549469346944,266.97428786582486,-24.756826744387986,19.199436
4068055343310903936,266.95920936735183,-24.791722008005397,17.814053
4068055515109594368,266.9574680051078,-24.77454094120885,18.719643
4068055485053566464,266.9801678930679,-24.76348694169686,17.36396
4068055485053561472,266.9771621636955,-24.767029949245256,19.241863
4068055450693806848,266.9666001988024,-24.779482396218693,19.423483
4068055515109594240,266.9574201316049,-24.766488145028838,18.856817
4068055278896811392,266.989180088462,-24.771701297119527,20.296333
4068055416335823104,266.9494659392716,-24.784991511809785,20.670956
4068055485053550592,266.975402893758,-24.77037364373689,20.820208
4068055412030378112,266.95550630161813,-24.77834994995369,18.409338
4068055343310902016,266.9559257529082,-24.797456175079315,17.581049
4068055480749873664,266.9788610546652,-24.76227550893981,19.484861
4068055347614598656,266.954835128994,-24.788066859559322,19.75879
4068055343310900608,266.95360876668025,-24.78748959197744,18.899294
4068055412030377856,266.9546768725212,-24.779666503740046,18.869192
4068055205868854400,267.0043361950498,-24.783875073398967,18.474092
4068055343310900736,266.9542889818478,-24.783664831244756,19.083063
4068055485053590912,266.976607196296,-24.76116388743045,19.233465
4068055446387023744,266.9782230863967,-24.779015585997527,18.340576
4068055515109591296,266.9519030761249,-24.763380114090143,19.151243
4068055072738234368,266.9782087441973,-24.816567294027074,20.871864
4068055038378484736,266.9690754087629,-24.825915053090092,20.650665
4068055343310900096,266.9530062000651,-24.79015165215406,18.460873
4068055308951161344,266.9526022992768,-24.79950999858273,18.644892
4068055515109591680,266.9527745697116,-24.771649900462183,16.731829
4068055450695559808,266.95848566715273,-24.779099042305397,21.025366
4068055450693851904,266.9584106493054,-24.776882612000197,18.58467
4068055450764684672,266.96804882112207,-24.78211977825132,18.06751
4068055515109590784,266.94990292388434,-24.76718301776144,18.665154
4068056309687458304,266.958842201138,-24.74650756938948,19.892054
4068055137152482560,266.9696248261423,-24.793330852768474,19.551992
4068055485055278464,266.9781286457696,-24.77012398876827,20.677164
4068055485053555968,266.97811760426066,-24.767517757372374,19.421858
4068055480749865216,266.96847902547654,-24.767621708210463,18.833014
4068055549469341696,266.9681388838873,-24.751193827044737,18.865416
4068055485055277312,266.9814792613504,-24.768145272805974,20.030766
4068055549469342464,266.9692917933349,-24.765368405223917,18.91457
4068055485053587072,266.97116267993795,-24.766114305639196,19.968086
4068055446390127232,266.9690395754193,-24.777302850416905,18.397448
4068055347614632064,266.9510307075695,-24.784124964374552,19.128925
4068055446390125568,266.96734050446605,-24.774790566813312,16.965555
4068055278965981696,266.9920645437839,-24.77574974546571,18.272331
4068056309687455488,266.95666980003574,-24.74901764144644,18.966814
4068055347614631168,266.94918293242034,-24.785897299924812,19.20191
4068055141527028608,266.9620712527808,-24.80106069316079,15.806896
4068055137152479360,266.96580321479775,-24.792713232027054,18.224401
4068055446390125056,266.9669007515063,-24.771041518446264,18.591528
4068055519413359744,266.9607582162412,-24.76871646278182,20.314213
4068055549469340288,266.96693288921637,-24.75629606847419,18.114546
4068055343310908800,266.9648586832713,-24.786060091233487,18.821348
4068055210177269120,266.9933580578307,-24.785380579098206,20.605108
4068055137152478336,266.96475816538185,-24.79529743826437,18.367401
4068055446390124288,266.9653632235054,-24.776226482251403,18.891735
4068055446390124416,266.96550660120346,-24.77184370606331,16.75204
4068056309687451776,266.9597010945831,-24.747003840723714,17.967495
4068055244606244864,266.9782784231179,-24.78561457872315,17.622263
4068055072736551808,266.97208396001645,-24.80646287955788,20.321257
4068055446390123264,266.9637903908348,-24.772921312415225,18.43544
4068055515109599744,266.9631322621636,-24.768162076190954,18.774542
4068055515109599872,266.9631577119414,-24.765938251015143,19.056189
4068056305383580800,266.9611561207774,-24.741374494454952,18.230875
4068055553773075200,266.9675493441111,-24.767628146100336,19.87011
4068055515109598208,266.96113123601606,-24.77205479196227,18.401264
4068055416334167808,266.948408681638,-24.774264812220945,19.068178
4068055347616316928,266.9584426132376,-24.785354197293856,21.185003
4068056305383581184,266.9615217769034,-24.74507653644644,18.713223
4068055343310907264,266.96152589336236,-24.788785134135047,17.015982
4068055519413335424,266.9660046856197,-24.769255640673354,20.017738
4068056275330403968,266.9545464924835,-24.75619855183374,20.539352
4068055343310905344,266.96020299337715,-24.784910771413703,18.54041
4068056305383579904,266.9604349993326,-24.752209500715143,18.524834
4068055519413335936,266.9655227902528,-24.769505346665806,19.233284
4068055343310905472,266.96039351710874,-24.793788109386163,18.158525
4068055137152475904,266.9610138886231,-24.799031546881142,18.509771
4068055343310905856,266.9607674397075,-24.790364786822273,18.208366
4068055450695533184,266.9643789527672,-24.78147333832527,20.71245
4068055485053596416,266.97208280544874,-24.76412522778139,18.969866
4068055416334119808,266.9556596066477,-24.778475115547238,20.528776
4068055416334119424,266.95040514853423,-24.782833410042073,19.82161
4068055450695548416,266.96366170958845,-24.77809199229802,20.814041
4068055450695548544,266.9659553727571,-24.776415440020426,20.741943
4068055278965987712,266.9838489961701,-24.77453382618973,15.603768
4068055519413333504,266.95778302573626,-24.776662985220113,19.60256
4068055450695546880,266.9623885836,-24.779101400925125,20.625029
4068055485053593856,266.9717131194645,-24.765000120684658,20.062757
4068055519413331968,266.9614309198336,-24.773874493963113,19.124065
4068055347616332288,266.95866757217584,-24.78175370050809,20.716248
4068055485053593728,266.97181868780945,-24.765190880168372,20.649267
4068056275330352512,266.952638412469,-24.758496944053416,20.340233
4068055485055284608,266.98354304382167,-24.764813034082138,20.022257
4068055480746763264,266.98541903874167,-24.770919870866216,20.36617
4068055485055284224,266.97706107791146,-24.769344394346714,20.03333
4068055210178794880,267.00036195822753,-24.79781840836378,20.664957
4068056309690091392,266.96333934437837,-24.748036556860846,19.866882
4068055450695546368,266.9608741054301,-24.780389878481976,20.292805
4068055519413371776,266.95581557894724,-24.769841929500956,19.083246
4068055175815769984,266.9853707266724,-24.794128832815094,19.76117
4068055416334115072,266.95222190832055,-24.78118220456255,19.57391
4068055416334115200,266.9526612021414,-24.78121171674725,20.002945
4068055485055258624,266.98706188790004,-24.768956357091486,20.693968
4068055485053592448,266.9773532224603,-24.759712606867744,20.792515
4068055450693835776,266.96881674605794,-24.77125650439783,19.796917
4068055485124424320,266.97721026026466,-24.771932262962885,18.244932
4068055485053575040,266.9719381851431,-24.768537781391473,19.546373
4068055485053510656,266.98083102006575,-24.77579691895454,20.227383
4068055485053516288,266.98329412348465,-24.772857173965964,20.307016
4068055485053516416,266.98282963910634,-24.7729932339876,19.651823
4068056309687451392,266.960480788063,-24.74645528153438,19.741735
4068055347614562048,266.96128474311257,-24.791173850162473,19.484787
4068055347614560384,266.95799648132436,-24.794681309949496,19.577892
4068055072736535552,266.98083526516274,-24.801669217769774,19.615126
4068055210246875904,267.00115748490225,-24.792526643187593,20.192135
4068055210246875776,267.0044305912377,-24.793710766338247,19.931828
4068055485124781440,266.9803580212151,-24.76983960195986,19.62629
4068055347614558336,266.9649275617187,-24.789319484660492,19.47876
4068055210246874880,267.0045543165905,-24.791679499939086,19.623411
4068055485124781568,266.98263798964837,-24.768297303220177,20.212107
4068055485053511040,266.97899830681047,-24.7773068469755,19.77415
4068055278895081344,266.98596166152504,-24.771666540665695,20.783154
4068055240227574400,266.97386516895926,-24.794155534917405,16.511646
4068056309687444608,266.95620454182836,-24.751208701351633,19.49049
4068056309687444992,266.9605433838363,-24.747457095745336,19.254364
4068055107096304896,266.96014020309786,-24.813252393219518,19.593689
4068056309687443456,266.9616683048375,-24.74673505930151,19.601654
4068055244535257344,266.98415325997047,-24.792787176562545,19.807213
4068055244535257472,266.97890225575753,-24.79730592108504,20.262255
4068055240227571456,266.9821089373543,-24.79475322037624,18.514933
4068055107096303616,266.95933812341895,-24.814181676137213,19.525856
4068055210175517952,266.9990379680291,-24.780280645062376,19.501463
4068055244535256448,266.9876913994082,-24.78996897908858,18.76802
4068055210175517696,266.9973950254855,-24.781738413871015,19.408173
4068055107096303488,266.95899686004867,-24.814186742544326,19.54326
4068055553773088768,266.96861744422324,-24.76416986613846,19.940195
4068056275327687296,266.952892954868,-24.758055267363446,18.807732
4068055210175516928,266.99787732188247,-24.781067453851534,20.328203
4068055205867847552,266.99292233510533,-24.79149617606903,17.250074
4068055278894993920,266.9907213059913,-24.787559247150917,20.114985
4068055278896783872,266.98784437198407,-24.779852866735602,20.819408
4068055210175515904,266.996476118704,-24.78302169022347,20.895412
4068055175815777408,266.9855631672994,-24.79251736969155,20.075762
4068056309687423232,266.9640763842994,-24.749007170499706,19.53501
4068055278896783616,266.9861499598442,-24.781181017321355,20.578459
4068055141457831424,266.9611470999487,-24.798024174397867,20.337658
4068055141456039552,266.97232285470136,-24.803545822429587,20.497257
4068055107096299776,266.96291255648106,-24.812048411657557,19.199137
4068055107096299904,266.964283463104,-24.810861071979673,16.260492
4068055210175514624,266.9989477859526,-24.781265376527575,19.300608
4068055210177233664,266.9976436305964,-24.791634612568746,20.357473
4068055278896784512,266.98932243542924,-24.778661045805684,20.717981
4068055244535253760,266.9822311228614,-24.795429044707454,18.437279
4068056309687422592,266.9564723251222,-24.756100119576857,20.635298
4068055553773150848,266.9684493997137,-24.75040696298609,19.868793
4068055210175513984,266.9996544552075,-24.78019513343424,19.373667
4068056309687421056,266.9558008105375,-24.756747145852056,20.499342
4068055210175513728,267.0014056263785,-24.77919244304201,19.272724
4068056309687421184,266.95563515771573,-24.756584875816998,19.97979
4068055210175514496,266.9991085485889,-24.781937647486256,20.566463
4068055175815774464,266.9810063720521,-24.796893848209994,18.704227
4068056275327681792,266.9541984324509,-24.75746734297421,17.549816
4068055343306794240,266.95523451467545,-24.791897064499185,17.498209
4068055175815748224,266.9833349915456,-24.800107713958255,20.095676
4068056309689154048,266.9567964889229,-24.749442481550446,20.502432
4068055244535265536,266.9802049865508,-24.794305888872543,19.933739
4068055244535265280,266.98017991555105,-24.793721654913167,20.567682
4068055549487214976,266.969603573386,-24.75790770113119,17.66574
4068055107096312448,266.958430367287,-24.81293065478607,19.987526
4068055244535265152,266.98050474931125,-24.793356297107472,20.655928
4068055278895003136,266.99234926985974,-24.78395939252372,18.48956
4068055553773076736,266.9733528641216,-24.76214271709861,19.975622
4068055244535263360,266.9860188508585,-24.78965295805225,20.020657
4068056275327694208,266.95401380649656,-24.75607456853213,18.416159
4068056275327694336,266.95349698146396,-24.756512814567756,19.088518
4068055244535262464,266.98161732000756,-24.79331700144838,19.376495
4068055210175440128,266.99949355610596,-24.797331533049313,18.695208
4068055171508080896,266.98997524450994,-24.80243530329599,17.337505
4068055175815702784,266.99887575149944,-24.797676721668466,19.429775
4068055068428865920,266.9797373231891,-24.8032777295147,17.977003
4068056309687430912,266.9610343139493,-24.750202252998566,20.077929
4068055278894998656,266.99926796328117,-24.77923114335754,20.103775
4068055141456044288,266.9690899224255,-24.805229819222088,19.621695
4068055137148341376,266.96650258670894,-24.804453541919294,15.379381
4068056309687428480,266.96603765716645,-24.746363136421152,19.135035
4068055210175503616,267.0012146909735,-24.780964032266787,17.889305
4068055038376811648,266.96612718490843,-24.811375533633193,18.915031
4068055210175504128,266.99865751902894,-24.783452754528,20.027407
4068055210175504256,266.99304797420496,-24.788241233130847,19.66722
4068056309687427712,266.9567302093884,-24.754558214789014,19.739037
4068055210175504000,266.9986595125231,-24.78301150359121,19.966768
4068055210175502336,266.99969578301744,-24.78285188844292,19.469173
4068055210175502464,266.997893818102,-24.78440029405296,19.198082
4068055210175503104,267.00071864518435,-24.781722611947867,19.787546
4068055210175501312,267.00222072466306,-24.78055578758823,17.97727
4068055210175501440,267.0025792648484,-24.780690489818486,19.905594
4068055210175501824,266.99480156043126,-24.786456425695512,20.195328
4068055553773156736,266.9650016761338,-24.75239889164046,19.718271
4068055137148354048,266.9601474767739,-24.7967580404237,18.133204
4068055171511581696,266.99110171836605,-24.80052114551133,18.453503
4068055171511581824,266.991672759936,-24.80421039451625,19.1454
4068055210175500928,266.9984812320708,-24.784218905878657,19.32618
4068055072739690752,266.9731605622969,-24.806564531127933,20.595884
4068055240227567616,266.97960531290965,-24.797080794392652,18.55222
4068055068432365952,266.9843978915933,-24.805855360256885,18.551012
4068055068432365568,266.9815807279289,-24.811905228434583,18.284777
4068055171511580800,266.9821395152411,-24.800580163429153,19.293756
4068055141457810176,266.97392572989133,-24.79463721116963,20.479937
4068055068432366336,266.98599026248803,-24.809697195558105,19.071302
4068055171511581568,266.9900618163306,-24.807502292597594,19.308311
4068055175818908288,266.98671969307827,-24.804397403190038,19.997488
4068055068432366080,266.9856044690839,-24.807317385009622,20.023046
4068055068432366208,266.98599368263496,-24.805784261074113,19.466314
4068055175818908544,266.9920242878259,-24.80078145723103,20.214125
4068055034072626432,266.97101806211754,-24.824679297611006,19.08933
4068055137151841664,266.97319649578225,-24.803337178357456,19.681725
4068055175815760640,266.98381566396677,-24.797142429840388,18.818073
4068055068432365312,266.9750340008458,-24.806432126705655,19.717354
4068055210175498880,267.0015826880751,-24.781957488322604,16.52539
4068055278896762496,266.9980831065946,-24.778373315610434,20.483118
4068055068432365056,266.97404817391936,-24.809990397768768,19.329172
4068055034072625408,266.9667207943015,-24.81847535281478,19.856451
4068055068432363904,266.96834335416327,-24.80887001816018,17.86178
4068055141457807360,266.97273751189437,-24.79634661914367,20.646402
4068055141456061440,266.97408858066734,-24.79725261458709,19.49343
4068055034072625152,266.96573197807595,-24.819739269797513,17.913185
4068055141456061824,266.97491793305426,-24.79650295255498,19.748222
4068055137151841152,266.9691726025342,-24.80694030977203,17.879005
4068055141457808000,266.9717539319193,-24.796830611288804,20.309565
4068055034072625792,266.968670869636,-24.81815165316046,18.928198
4068055102792101120,266.9614521839056,-24.805174402142,19.436163
4068055175818909696,266.99614407863606,-24.800840645500607,20.272144
4068055102792101632,266.9643645754846,-24.806321892599748,17.999104
4068055102792101760,266.96550537999747,-24.808048868598327,18.265074
4068055102792100224,266.95838948005235,-24.802285842470162,18.590649
4068055102792100608,266.95996389666755,-24.814731905412312,18.090485
4068055175815772416,266.98011450264505,-24.79801831979499,19.738451
4068055102792100480,266.9594066803293,-24.80209221886082,18.701794
4068055107098082560,266.9590612289756,-24.802458388772166,20.787807
4068055141457820672,266.96261835478305,-24.800040438575884,20.430065
4068055141457821184,266.9664002187305,-24.797404114636507,21.015718
4068055102792099328,266.95566120989116,-24.80346801133696,19.445517
4068055107098082176,266.957067732886,-24.80369103318331,20.307379
4068055210175510272,266.9995170273136,-24.78165456974753,20.130217
4068055278896806272,266.98289498591527,-24.77767407896806,20.832706
4068055141457819776,266.96059031315525,-24.801518370611635,20.688852
4068055210175510400,266.99958323406514,-24.78144971787388,19.981586
4068055107098082048,266.9573855710577,-24.803723852680722,20.010857
4068055072736555392,266.9750947288669,-24.80272614798784,19.684252
4068055141456067328,266.97337495446453,-24.7965754328269,19.906164
4068055278896772096,266.99271449434116,-24.779637606517312,20.326591
4068055446407981312,266.95909878316616,-24.77749254149133,18.617605
4068055412026300416,266.9526459763788,-24.781541397820952,17.855158
4068055343306812288,266.9549409939272,-24.78579864484849,16.860487
4068055274587335424,266.99029305893725,-24.785450930146904,16.505445
4068055107096292480,266.9594872580695,-24.816394092873058,19.648914
4068055278896771072,266.99382776058405,-24.779127754331103,20.836792
4068055412026299648,266.9494083863867,-24.781700325664183,18.08839
4068055107096292864,266.9604229421161,-24.81557657240282,19.123976
4068055313256531584,266.9543092650086,-24.800713817395255,20.37803
4068055210175506688,266.9952890591443,-24.78576290929381,19.755589
4068055278895006208,266.99408603039313,-24.78022847166161,20.661009
4068055205867869312,266.9983284902783,-24.781023870940555,18.384197
4068055141456030464,266.96801392166856,-24.80860173609252,20.709515
4068055038376815488,266.96753575263523,-24.809522109742844,19.164167
4068055278895006080,266.9940888403596,-24.78075705902594,20.170502
4068055308969025920,266.9540744939836,-24.798992481492757,18.84419
4068055175815768704,266.9883180312517,-24.79138272301288,20.069963
4068055343328763904,266.9521261697934,-24.79365487789612,18.950163
4068055210175505792,266.9942999063039,-24.7868251507152,17.04508
4068055072736551936,266.97185315798924,-24.806192386464687,20.500715
4068055137170334464,266.976393876625,-24.799369157129526,18.425146
4068055141457815680,266.96963520083057,-24.796056284655556,20.390375
4068055072736552448,266.9733809872299,-24.804745169686697,19.334911
4068055210175506048,266.9921062521162,-24.788652081295087,19.606695
4068055278896769536,266.98589432131087,-24.784844122621738,20.565786
4068055210175443200,267.0020485056808,-24.79438326772353,19.4299
4068055072736489856,266.981228592081,-24.81199686514151,19.420197
4068055038376751232,266.97382760034196,-24.81867615755445,18.844278
4068055210175442176,267.00921390102974,-24.788617306945195,19.136448
4068055107167282432,266.9633808409178,-24.80936532120551,16.682268
4068055210175442048,267.0092102017547,-24.788962010138125,19.354445
4068055278894998784,266.9996510173629,-24.778810292459355,19.465239
4068055244535262080,266.9814848998167,-24.793820689293746,19.871342
4068055107096308480,266.96057187842484,-24.811773030375218,19.047592
4068055175815702656,266.99852445512533,-24.79754566160716,18.622778
4068055107096303360,266.95892088498834,-24.814025034170097,20.20198
4068055038378531200,266.9670355228728,-24.81523197597367,20.87605
4068055210175440000,267.011167640893,-24.787048463353116,17.89702
4068055038376747264,266.9677801427721,-24.824912552327415,17.865171
4068055210246861824,267.00659609465185,-24.78462601573645,20.249615
4068055141457837056,266.96335692515123,-24.795089578622637,20.7185
4068055347685736320,266.94876855818643,-24.790561099495495,20.608015
4068055210175439744,267.0082323623009,-24.790019952860888,19.328709
4068055210175487872,267.0031528311502,-24.78214239427493,20.120472
4068056309689155200,266.95794887529325,-24.748517730444636,20.79961
4068055072736532864,266.9748836749869,-24.807429717406187,19.796312
4068055107098096640,266.95255246422613,-24.802999512207844,20.015726
4068055072736532608,266.97977945855877,-24.80273675878091,18.812538
4068055175815748352,266.9864729951615,-24.797397903801112,19.952787
4068056309687419776,266.9638085132098,-24.74984888241582,19.780977
4068055519415062784,266.9578823156237,-24.773185966538787,20.700096
4068055210175485696,266.9945589517405,-24.79064851212505,19.973515
4068055210175485568,266.9949311017914,-24.790735667704197,20.247986
4068055141457833088,266.97053914608676,-24.79124222720805,20.903109
4068055141457833728,266.95884200533226,-24.799023583502024,20.703936
4068055038376792704,266.96917048914935,-24.81265860095995,20.078856
